ASV_ID	taxonomy
946881585a30b54ad70e32429e71b532	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
e491e11406cac2a3d22a1864dd7a5c52	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
98e4ed9f6d1943f0fa2af6d68d962529	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
54f3979d9e6cea254cd9bf51189e3693	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
530509f45e0022aa716846df0f1dfe28	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
4114dbf57d2b9040a5a145ae060f4aef	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
91e18fc3368716e8d876e7441efc43ed	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
0d15ed5ff5079910a4bf86896b9842b8	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
4915f9f2e748cfc6bcd823d51aaafcba	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
194b0a832a2b267482a734368023303f	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
e80da75f8edd3ece7377b287d2ae6c6b	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
13f2ba7a14a74bda644235c35fc0e54a	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
d92685e4d54be7ab562b60dbf3bb96ff	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
bc31cab9ad83b541f246e294ba72eeef	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
16b4a394290d42450ea05c5812606b08	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
f8cd40022eecd14d7a5b58d607b5ec2f	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
568b5a0298e1ad2ebd67d4235de52f3e	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
f35badd908a1336911e210da0b679ecc	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
7ba2c7f4fc701d27e66f897cf41ae930	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
4be58462ad348c69768f318c1d7a0628	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
1508685809964e83ad6bca888880375d	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
8d1b333ff80e8795d889abd43a03ee74	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
8a9e41b15e05a21ee2bd9756d3c89171	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
e20310edcfc878abd71588ae962a1ca5	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
ee3726b42c7a0ad47050c4877a54bf68	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
110e7cb5601ad6175fcef09de0ea90b1	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
10edbd75f3e069bf36893906631439a4	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
