pathway	HB1	HB2	HB3	HB4	HB5	N1	N2	N3	N4	N5
PWY-5097	49816.07708833062	41283.1001935731	48364.39206708951	43446.37613056096	47149.55232907786	71505.11880391085	68350.65023834346	68517.61269520257	57522.93991870816	58887.108375082535
PWY-5100	49638.18756803524	40476.50775597714	48082.80808838506	41973.85557239571	51419.71583020859	80572.15671583352	79568.55581010047	66133.4830148694	62759.27081766759	52084.97271262796
PWY-5101	52498.571311542546	43766.50106079804	52521.55181396267	43969.12753259186	45344.82116686291	83043.99780665807	86687.64628477213	80877.30607657773	76020.89890199862	66793.21409572026
PWY-5103	43825.90902724473	37177.422481899936	44176.36374278938	39213.58111090675	38512.21050320277	70047.91244278765	73128.6002394566	68862.93736492115	65571.98872280294	56647.072881296495
PWY-5104	49704.427507169974	40456.98866429897	48784.566896271404	40230.89064146154	41289.565402843924	78044.45301363865	81924.74243416058	75007.53591710799	70105.85839264705	62705.93109930489
PWY-5121	37469.494074079856	28655.434564339037	38341.15149245476	30556.199248498528	32656.465770912706	63149.16038595319	64384.52236254537	61341.02586919551	56987.212538719265	51346.32184559724
PWY-5154	40310.963902979965	35089.939397496215	37566.30660599285	34675.190219004435	34891.91975467078	51099.384973747576	51860.2149923674	42960.63066764795	48555.378907843464	29378.916776503127
PWY-5177	4106.459547455972	1746.6903950283643	2834.603985970026	2060.1492255437934	1992.3973799081064	4861.853649177196	3957.904275555974	2487.8253987157323	1610.7062606305476	3824.064279221975
PWY-5178	323.95131527982164	273.38613269873326	521.7403224049542	704.1268826371994	4523.192819005062	963.250571071996	380.81862759434443	974.9359360339431	356.6875076336481	359.88604120401834
PWY-5180	14711.37784471383	16396.869894359257	5793.533373995267	20515.592295919192	16566.232052190197	4495.8681026471	2147.563566227913	2983.421612458546	2402.823120117143	2183.477109966371
PWY-5181	15141.555805139833	17713.883066023962	7718.290613449761	22062.406630585865	17747.831061937708	2205.1291146207154	415.9950224559779	4681.258057400828	1684.7868312417825	1246.6772306723137
PWY-5182	14711.37784471383	16396.869894359257	5793.533373995267	20515.592295919192	16566.232052190197	4495.8681026471	2147.563566227913	2983.421612458546	2402.823120117143	2183.477109966371
PWY-5183	11.749474218800607	55.100039908210576	440.37764226517544	422.2609561271079	2047.6699680742602	563.7364316674353	0.0	703.354280227645	363.9171249803003	0.0
PWY-5188	28296.643360856717	23274.298607887747	27750.23218547605	25834.95910833269	23790.499137784962	29783.434731794216	30257.853131246047	40811.54766632414	31807.87358963875	35713.081126965786
PWY-5189	27307.67789191507	22456.30320766689	26730.426277106984	25207.313683371543	22931.033891532003	27897.766164027056	28543.403387376653	39176.638147104444	30156.56368911381	34366.455573474115
PWY-5265	831.8713048329238	2561.9233894472395	3714.7070506151977	4492.991891276879	5379.180616394131	9935.255611715096	813.236584530187	5768.690878852151	4766.637596569957	431.6166963075049
PWY-5304	677.0	1112.25	464.75000000000006	402.5	1531.7499999999998	2648.5	1447.29	897.5	593.75	2503.0
PWY-5345	29050.53804703361	29573.36252620982	30575.669274403117	32058.93800408801	30531.36408184415	32821.03301345621	22604.739392385734	47311.87026390558	32645.434637981387	41538.186213213434
